domain,detection_level,device,grouped_domain,domain_id,port
m3.ubia.cn.,ubell-doorbell,ubell-doorbell,m3.ubia.cn.,80,10240.0
m4.ubia.cn.,ubell-doorbell,ubell-doorbell,m4.ubia.cn.,83,10240.0
mhc8806us.magichue.net.,magichome-strip,magichome-strip,mhc8806us.magichue.net.,33,8806.0
motiondetection-eu.oss-eu-central-1.aliyuncs.com.,yi-camera,yi-camera,motiondetection-eu.oss-eu-central-1.aliyuncs.com.,90,80.0
mq.gw.tuyaeu.com.,smartlife_cat,smartlife-bulb,mq.gw.tuyaeu.com.,64,1883.0
mq.gw.tuyaeu.com.,smartlife_cat,smartlife-remote,mq.gw.tuyaeu.com.,64,1883.0
mq.gw.tuyaus.com.,bulb1,bulb1,mq.gw.tuyaus.com.,13,1883.0
n-deventry.tplinkcloud.com.,tplink_cat,tplink-bulb,n-deventry.tplinkcloud.com.,78,443.0
n-deventry.tplinkcloud.com.,tplink_cat,tplink-plug2,n-deventry.tplinkcloud.com.,78,443.0
n-deventry.tplinkcloud.com.,tplink_cat,tplink-plug-pow1,n-deventry.tplinkcloud.com.,78,443.0
n-deventry.tplinkcloud.com.,tplink_cat,tplink-plug-pow2,n-deventry.tplinkcloud.com.,78,443.0
n-deventry.tplinkcloud.com.,tplink_cat,tplink-plug-pow4,n-deventry.tplinkcloud.com.,78,443.0
n-deventry.tplinkcloud.com.,tplink_cat,tplink-plug-pow6,n-deventry.tplinkcloud.com.,78,443.0
n-devs.tplinkcloud.com.,tplink_cat,tplink-bulb,n-devs.tplinkcloud.com.,79,443.0
n-devs.tplinkcloud.com.,tplink_cat,tplink-plug2,n-devs.tplinkcloud.com.,79,443.0
n-devs.tplinkcloud.com.,tplink_cat,tplink-plug-pow1,n-devs.tplinkcloud.com.,79,443.0
n-devs.tplinkcloud.com.,tplink_cat,tplink-plug-pow2,n-devs.tplinkcloud.com.,79,443.0
n-devs.tplinkcloud.com.,tplink_cat,tplink-plug-pow4,n-devs.tplinkcloud.com.,79,443.0
n-devs.tplinkcloud.com.,tplink_cat,tplink-plug-pow5,n-devs.tplinkcloud.com.,79,443.0
n-devs.tplinkcloud.com.,tplink_cat,tplink-plug-pow6,n-devs.tplinkcloud.com.,79,443.0
netcom.netatmo.net.,netatmo-weather-station,netatmo-weather-station,netcom.netatmo.net.,38,25050.0
ntp1.dlink.com.,dlink-mov,dlink-mov,ntp1.dlink.com.,16,123.0
ot.io.mi.com.,xiaomi_cat,philips-bulb,ot.io.mi.com.,89,8053.0
ot.io.mi.com.,xiaomi_cat,xiaomi-hub,ot.io.mi.com.,89,8053.0
ot.io.mi.com.,xiaomi_cat,xiaomi-plug,ot.io.mi.com.,89,8053.0
ot.io.mi.com.,xiaomi_cat,xiaomi-ricecooker,ot.io.mi.com.,89,8053.0
ot.io.mi.com.,xiaomi_cat,xiaomi-strip,ot.io.mi.com.,89,8053.0
ott.io.mi.com.,xiaomi_cat,philips-bulb,ott.io.mi.com.,87,80.0
ott.io.mi.com.,xiaomi_cat,xiaomi-hub,ott.io.mi.com.,87,80.0
ott.io.mi.com.,xiaomi_cat,xiaomi-strip,ott.io.mi.com.,87,80.0
p2p3.nwsvr2.com.,wansview-cam-wired,wansview-cam-wired,p2p3.nwsvr2.com.,86,32100.0
p2p4.nwsvr2.com.,wansview-cam-wired,wansview-cam-wired,p2p4.nwsvr2.com.,85,32100.0
p2p.amcrestview.com.,amcrest-cam-wired,amcrest-cam-wired,p2p.amcrestview.com.,0,8800.0
p2p.amcrestview.com.,amcrest-cam-wired,amcrest-cam-wired,p2p.amcrestview.com.,0,8802.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51009.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51013.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51029.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51033.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51047.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51057.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51079.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51081.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51089.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51117.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51123.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51129.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51143.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51159.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51165.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51177.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51185.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51199.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51217.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51235.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51253.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51263.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51267.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51269.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51275.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51293.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51295.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51305.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51309.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51329.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51331.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51339.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51343.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51349.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51367.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51373.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51389.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51393.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51399.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51419.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51421.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51455.0
p2p.reolink.com.,reolink-cam-wired,reolink-cam-wired,p2p.reolink.com.,39,51479.0
